Prov-nummer	Art	Kända resistensgener samt PVL	Känd MLST eller Spa-typ	AMRFinderPlus gener
VR170213	E. faecium	VanA.bc_1_Y15704, aac_6___Ii.1_L12710, tet_M_.13_AM990992, VanA_2_M97297, VanH.bc_1_Y15705, erm_B_.23_X72021, aac_6___aph_2___.1_M13771, ant_6__Ia.1_AF330699, cat_pC221_.1_X02529, ant_6__Ia.2_KF421157, msr_C_.1_AY004350	aST203, ST203	aac(6')-I, aac(6')-Ie/aph(2'')-Ia, ant(6)-Ia, msr(C), erm(B), eat(A), parC_S80R, gyrA_S83Y, tet(M), vanY-A, vanZ-A, catA, dfrF, vanX-A, vanA, vanH-A, vanS-A, vanR-A
EC3693	E. coli	tet_A_.4_AJ517790, mdf_A_.1_Y08743, blaOXA_244.1_KP659189, qnrB19.1_EU432277, blaOXA_244	aST69, ST69	cyaA_S352T, tet(A), qnrB19, blaOXA-244
EC3712	E. coli	blaOXA_48.1_AY236073, aac_3__IId.1_EU022314, blaCMY_3, tet_A_.4_AJ517790, qacE.1_X68232, blaTEM_1_2d, blaOXA_48, blaCMY_2, aph_3____Ib.5_AF321551, mph_A_.1_D16251, blaCMY_2.1_X91840, blaTEM_1B.1_AY458016, dfrA17.1_FJ460238, mdf_A_.1_Y08743, sul2.2_AY034138, aph_6__Id.4_CP000971, sul1.2_U12338, aadA5.1_AF137361, blaTEM_118_AY130285.1	aST131, ST131	gyrA_D87N, gyrA_S83L, blaCMY-2, mph(A), sul1, qacEdelta1, aadA5, dfrA17, aac(3)-IId, tet(A), aph(6)-Id, aph(3'')-Ib, sul2, blaTEM-1, parE_I529L, parC_E84V, parC_S80I, blaOXA-48, ptsI_V25I, uhpT_E350Q
EC3717	E. coli	blaNDM_1, mph_A_.1_D16251, blaCTX_M_27.1_AY156923, dfrA17.1_FJ460238, blaNDM_1.1_FN396876, mdf_A_.1_Y08743, sul2.2_AY034138, aph_6__Id.4_CP000971, ant_3____Ia.1_X02340, sul1.2_U12338, qacE.1_X68232, tet_A_.4_AJ517790, blaCTX_M_27, blaCTX_M_106, aadA5.1_AF137361, aph_3____Ib.5_AF321551	aST131, ST131	gyrA_D87N, gyrA_S83L, ptsI_V25I, dfrA17, aadA5, qacEdelta1, sul1, mph(A), sul2, aph(3'')-Ib, aph(6)-Id, tet(A), blaNDM-1, ble, blaCTX-M-27, uhpT_E350Q, parE_I529L, parC_E84V, parC_S80I
EC3718	E. coli	blaOXA_1, blaCTX_M_15.1_AY044436, blaCTX_M_108_JF274245.1, blaOXA_1.1_HQ170510, mdf_A_.1_Y08743, dfrA17.1_FJ460238, blaCMY_3, blaCMY_98.1_KC603538, ant_3____Ia.1_X02340, tet_B_.2_AF326777, catB3.2_U13880, qacE.1_X68232, aadA5.1_AF137361, blaCMY_42, blaCMY_42.1_HM146927, aac_6___Ib_cr.1_DQ303918_2, blaCTX_M_15	aST617, ST617	gyrA_D87N, gyrA_S83L, parE_S458A, parC_S80I, blaCMY-42, tet(B), blaCTX-M-15, aadA5, dfrA17, blaOXA-1, aac(6')-Ib-cr5
EC3721	E. coli	blaCTX_M_99.1_HM803271, mph_A_.1_D16251, blaOXA_48.1_AY236073, aac_3__IId.1_EU022314, blaTEM_1B.1_AY458016, dfrA17.1_FJ460238, mdf_A_.1_Y08743, ant_3____Ia.1_X02340, sul1.2_U12338, qacE.1_X68232, blaTEM_1_2d, blaOXA_48, blaCTX_M_106, blaCTX_M_24_2d, aadA5.1_AF137361, blaTEM_118_AY130285.1	aST38, ST38	blaCTX-M-24, cyaA_S352T, gyrA_S83L, dfrA17, aadA5, qacEdelta1, sul1, mph(A), aac(3)-IId, blaOXA-48, blaTEM-1
EC3738	E. coli	blaCMY_3, tet_B_.2_AF326777, rmtB.1_AB103506, blaCMY_42.1_HM146927, aac_6___Ib_cr.1_DQ303918_2, blaCTX_M_108_JF274245.1, mph_A_.1_D16251, blaOXA_1.1_HQ170510, erm_B_.1_JN899585, mdf_A_.1_Y08743, sul1.2_U12338, blaTEM_118_AY130285.1, blaCTX_M_15, blaNDM_4, blaOXA_1, blaCTX_M_15.1_AY044436, aac_3__IId.1_EU022314, dfrA14.1_KF921535, ARR_6.3_JF922883, qacE.1_X68232, blaTEM_1_2d, blaCMY_42, dfrA12.8_AM040708, blaTEM_1B.1_AY458016, aadA2.2_JQ364967, catB3.2_U13880, blaNDM_4.1_JQ348841	aST405, ST405	gyrA_D87N, gyrA_S83L, cyaA_S352T, blaCTX-M-15, parC_S80I, parE_S458A, blaCMY-42, dfrA12, aadA2, qacEdelta1, sul1, ble, blaNDM-4, tet(B), dfrA14, erm(B), erm(B), rmtB1, blaTEM-1, mph(A), aac(3)-IId, catB3, blaOXA-1, aac(6')-Ib-cr5
EC3767	E. coli	blaCMY_3, tet_B_.2_AF326777, blaCMY_42_b, aph_3____Ib.5_AF321551, blaCMY_42.1_HM146927, aac_6___Ib_cr.1_DQ303918_2, qnrS1.1_AB187515, blaCTX_M_108_JF274245.1, mph_A_.1_D16251, blaOXA_1.1_HQ170510, mdf_A_.1_Y08743, sul2.2_AY034138, sul1.2_U12338, blaOXA_181, blaTEM_118_AY130285.1, blaCTX_M_15, blaOXA_1, blaCTX_M_15.1_AY044436, aac_3__IId.1_EU022314, aph_6__Id.1_M28829, ARR_6.3_JF922883, qacE.1_X68232, blaTEM_1_2d, dfrA12.8_AM040708, blaNDM_5.1_JN104597, blaTEM_1B.1_AY458016, dfrA17.1_FJ460238, aadA2.2_JQ364967, catA1.1_V00622, blaOXA_181.1_CM004561, catB3.2_U13880, blaNDM_5, ere_A_.1_AY183453, aadA5.1_AF137361	aST448	blaTEM-1, aadA2, aph(6)-Id, dfrA12, qnrS1, blaOXA-181, blaCMY-42, mph(A), aac(3)-IId, sul2, catA1, gyrA_D87N, gyrA_S83L, catB3, blaOXA-1, aac(6')-Ib-cr5, blaCTX-M-15, qacEdelta1, aadA5, dfrA17, ble, tet(B)
EC3789	E. coli	blaOXA_1, blaCTX_M_15.1_AY044436, tet_A_.4_AJ517790, qacE.1_X68232, blaTEM_1_2d, rmtB.1_AB103506, aac_6___Ib_cr.1_DQ303918_2, dfrA12.8_AM040708, blaNDM_5.1_JN104597, blaCTX_M_108_JF274245.1, mph_A_.1_D16251, blaOXA_1.1_HQ170510, mdf_A_.1_Y08743, blaTEM_1B.1_AY458016, aadA2.2_JQ364967, sul1.2_U12338, catB3.2_U13880, blaNDM_5, blaTEM_118_AY130285.1, blaCTX_M_15	aST167, ST167	parC_S80I, parE_S458A, gyrA_D87N, gyrA_S83L, tet(A), blaNDM-5, ble, sul1, qacEdelta1, aadA2, dfrA12, rmtB1, blaTEM-1, mph(A), blaCTX-M-15, aac(6')-Ib-cr5, blaOXA-1
EC3899	E. coli	blaCMY_2, mdf_A_.1_Y08743, aph_3____Ib.5_AF321551, blaCMY_3, aph_6__Id.1_M28829, blaCMY_2.1_X91840	aST88, ST88	blaCMY-2, aph(3'')-Ib, aph(6)-Id
EC3913	E. coli	blaDHA_1.1_Y16410, qnrB4.1_DQ303921, mph_A_.1_D16251, mdf_A_.1_Y08743, dfrA17.1_FJ460238, blaDHA_1, ant_3____Ia.1_X02340, sul1.2_U12338, qacE.1_X68232, aadA5.1_AF137361	aST349, ST349	mph(A), sul1, blaDHA-1, qnrB4, dfrA17, uhpT_E350Q
MR160644B	E. coli	mph_A_.1_D16251, aac_3__IId.1_EU022314, blaTEM_1B.1_AY458016, dfrA17.1_FJ460238, mdf_A_.1_Y08743, ant_3____Ia.1_X02340, sul1.2_U12338, qacE.1_X68232, blaTEM_1_2d, aadA5.1_AF137361, blaTEM_118_AY130285.1	aST5954, ST5954	cyaA_S352T, gyrA_D87N, gyrA_S83L, blaTEM-1, parE_S458A, parC_S80I, mph(A), dfrA17, aadA5, qacEdelta1, sul1, aac(3)-IId
MRR160054	E. coli	qnrS1.1_AB187515, blaCTX_M_15.1_AY044436, mph_A_.1_D16251, blaOXA_48.1_AY236073, erm_B_.1_JN899585, dfrA17.1_FJ460238, mdf_A_.1_Y08743, blaCTX_M_108_JF274245.1, sul2.2_AY034138, aph_6__Id.4_CP000971, ant_3____Ia.1_X02340, sul1.2_U12338, qacE.1_X68232, tet_A_.4_AJ517790, blaOXA_48, aadA5.1_AF137361, aph_3____Ib.5_AF321551, blaCTX_M_15	aST46*, ST46	tet(A), blaOXA-48, qnrS1, blaCTX-M-15, mph(A), sul1, qacEdelta1, aadA5, dfrA17, erm(B), erm(B), aph(6)-Id, aph(3'')-Ib, sul2
MRR160067	E. coli	mdf_A_.1_Y08743	aST404, ST404	blaEC-5, uhpT_E350Q, marR_S3N
MRR160072	E. coli	dfrA12.8_AM040708, blaNDM_5.1_JN104597, mph_A_.1_D16251, mdf_A_.1_Y08743, blaTEM_1B.1_AY458016, aadA2.2_JQ364967, blaCMY_3, tet_B_.2_AF326777, sul1.2_U12338, qacE.1_X68232, blaTEM_1_2d, blaNDM_5, qepA4.1_KX580704, blaCMY_42.1_HM146927, blaTEM_118_AY130285.1, blaCMY_42_CP023957	aST405, ST405	parE_S458A, parC_S80I, gyrA_D87N, gyrA_S83L, cyaA_S352T, blaCMY, tet(B), blaNDM-5, ble, sul1, qacEdelta1, aadA2, dfrA12, qepA4, mph(A), blaTEM-1
UO1639842	E. coli	catA1.1_V00622, blaCMY_2, mdf_A_.1_Y08743, blaCMY_3, blaCMY_2.1_X91840, tet_B_.2_AF326777	aST778, ST778	uhpT_E350Q, gyrA_S83A, cyaA_S352T, blaCMY-2, tet(B), catA1
AB164094	K. pneumoniae	blaKPC_2.1_AY034847, aac_3__IV.1_DQ241380, blaOXA_9, fosA.5_AFBO01000747, blaKPC_9, OqxB.1_EU370913_2, aadA2b.1_D43625, aph_3___Ia.1_V00359, sul3.2_AJ459418, mph_A_.1_D16251, blaTEM_1, sul1.2_U12338, blaSHV_153, aac_6___Ib.1_M21682, blaTEM_118_AY130285.1, OqxA.1_EU370913_2, aph_4__Ia.1_V01499, qacE.1_X68232, aadA1.3_JQ414041, blaKPC_2, blaSHV_11_7d, blaTEM_1A.1_HM749966, mef_B_.1_FJ196385, cmlA1.1_M64556, blaSHV_182.1_KP050489, blaOXA_9.1_KQ089875, aadA13.1_AY713504	aST258*, ST258	gyrA_S83I, blaKPC-2, blaSHV-11, aac(6')-Ib, sul3, qacL, aadA1, cmlA1, aac(3)-IVa, aph(4)-Ia, oqxB, oqxA, mph(A), sul1, qacEdelta1, pmrB_R256G, blaOXA, aph(3')-Ia, blaTEM, blaTEM, blaTEM, aadA2, fosA
K1011	K. pneumoniae	aadA10.1_U37105, blaCTX_M_15.1_AY044436, ARR_3.1_JF806499, dfrA14.1_KF921535, aadA16.1_EU675686, OqxA.1_EU370913_2, tet_A_.4_AJ517790, qacE.1_X68232, OqxB.1_EU370913_2, dfrA27.1_FJ459817, blaSHV_152, aac_6___Ib_cr.1_DQ303918_2, blaCTX_M_108_JF274245.1, mph_A_.1_D16251, blaSHV_28.1_AF299299, ant_3____Ia.1_X02340, blaTEM_1C.1_FJ560503, fosA.3_ACWO01000079, sul1.2_U12338, blaTEM_1_3d, blaSHV_28, blaTEM_118_AY130285.1, blaCTX_M_15	aST15, ST15	blaSHV-28, ramR_A19V, oqxB, oqxA, fosA, gyrA_D87A, gyrA_S83F, aac(6')-Ib-cr5, arr-3, dfrA27, aadA16, qacEdelta1, sul1, blaCTX-M-15, mph(A), tet(A), dfrA14
K923	K. pneumoniae	tet_A_.6_AF534183, blaOXA_48.1_AY236073, aph_3___VI.1_KC170992, blaNDM_1.1_FN396876, OqxB.1_EU370913_2, aph_3____Ib.5_AF321551, aac_6___Ib_cr.1_DQ303918_2, blaOXA_1.1_HQ170510, sul2.2_AY034138, sul1.2_U12338, floR.2_AF118107, blaOXA_1, blaNDM_1, aac_3__IId.1_EU022314, ARR_3.1_JF806499, dfrA14.1_KF921535, aph_6__Id.1_M28829, qnrB1.1_DQ351241, OqxA.1_EU370913_2, blaSHV_12, qacE.1_X68232, blaOXA_48, blaSHV_12.1_KF976405, blaSHV_165, ant_3____Ia.1_X02340, fosA.3_ACWO01000079, catB3.2_U13880	aST15, ST15	oqxB, oqxA, ramR_A19V, gyrA_D87A, gyrA_S83F, ble, blaNDM-1, aph(3')-VI, qnrB9, sul2, aph(3'')-Ib, aph(6)-Id, dfrA14, floR, aac(3)-IId, fosA, arr-3, qacEdelta1, sul1, qnrB1, blaOXA-48, tet(A), tet(A), aac(6')-Ib-cr5, blaOXA-1
K927	K. pneumoniae	blaOXA_1, blaSHV_11_2d, blaOXA_1.1_HQ170510, dfrA14.1_KF921535, qnrB1.1_DQ351241, OqxA.1_EU370913_2, ant_3____Ia.1_X02340, fosA.5_AFBO01000747, blaSHV_182.1_KP050489, catB3.2_U13880, OqxB.1_EU370913_2, blaOXA_245.1_JX438001, blaSHV_152, blaOXA_245, aac_6___Ib_cr.1_DQ303918_2	aST11	gyrA_D87A, gyrA_S83F, oqxB, pmrB_R256G, fosA, dfrA14, blaOXA-245, qnrB1, blaOXA-1, aac(6')-Ib-cr5, blaSHV-11
K962	K. pneumoniae	blaOXA_1, blaNDM_1, blaCTX_M_15.1_AY044436, blaSHV_11_15d, blaNDM_1.1_FN396876, dfrA14.1_KF921535, aph_6__Id.1_M28829, qnrB1.1_DQ351241, OqxA.1_EU370913_2, fosA.5_AFBO01000747, tet_A_.4_AJ517790, blaTEM_1_2d, OqxB.1_EU370913_2, blaSHV_152, aph_3____Ib.5_AF321551, aac_6___Ib_cr.1_DQ303918_2, blaCTX_M_108_JF274245.1, blaOXA_1.1_HQ170510, blaTEM_1B.1_AY458016, sul2.2_AY034138, blaSHV_67.1_DQ174307, ant_3____Ia.1_X02340, catB3.2_U13880, blaTEM_118_AY130285.1, blaCTX_M_15	aST273, ST273	blaNDM-1, ble, pmrB_R256G, blaSHV-11, sul2, aph(3'')-Ib, aph(6)-Id, blaTEM-1, blaCTX-M-15, dfrA14, tet(A), qnrB1, oqxB, oqxA, blaOXA-1, aac(6')-Ib-cr5, gyrA_S83I, fosA, fosA
K967-1	K. pneumoniae	sul2.3_HQ840942, blaOXA_48.1_AY236073, dfrA14.1_KF921535, aph_6__Id.1_M28829, blaSHV_1_16d, OqxA.1_EU370913_2, ant_3____Ia.1_X02340, blaSHV_99.1_AM941845, fosA.5_AFBO01000747, OqxB.1_EU370913_2, blaOXA_48, blaSHV_152, aph_3____Ib.5_AF321551	aST530, ST530	blaOXA-48, fosA, fosA, oqxB, blaSHV-1, sul2, aph(3'')-Ib, aph(6)-Id
K978	K. pneumoniae	blaKPC_2.1_AY034847, blaCMY_3, blaOXA_9, blaSHV_123_GQ390805, fosA.5_AFBO01000747, blaKPC_9, OqxB.1_EU370913_2, blaCMY_2, blaOXA_10.1_J03427, blaCTX_M_108_JF274245.1, mph_A_.1_D16251, sul2.2_AY034138, sul1.2_U12338, aac_6___Ib.1_M21682, blaTEM_118_AY130285.1, blaCTX_M_15, floR.2_AF118107, qnrA1.1_AY070235, blaCTX_M_15.1_AY044436, OqxA.1_EU370913_2, mph_B_.1_D85892, qacE.1_X68232, blaTEM_1_2d, blaSHV_16, blaKPC_2, aph_3___Ia.7_X62115, dfrA12.8_AM040708, aadA1.5_JX185132, blaCMY_2.1_X91840, blaTEM_1B.1_AY458016, aadA2.2_JQ364967, cmlA1.1_M64556, catA1.1_V00622, blaOXA_9.1_KQ089875, blaOXA_10_2d	aST258, ST258	aac(6')-Ib, aac(6')-Ib, aac(6')-Ib, aac(6')-Ib, oqxA, oqxB, blaCMY-2, catA1, gyrA_S83I, floR, sul2, pmrB_R256G, blaKPC-2, mph(B), qacEdelta1, sul1, qnrA1, sul1, mph(A), cmlA5, blaOXA-10, aadA1, blaCTX-M-15, fosA, aadA2, dfrA12, blaTEM, blaTEM, blaTEM, blaOXA
K986	K. pneumoniae	tet_A_.6_AF534183, blaOXA_48.1_AY236073, blaCMY_3, ARR_2.1_HQ141279, fosA.5_AFBO01000747, OqxB.1_EU370913_2, blaSHV_152, aph_3____Ib.5_AF321551, blaCMY_4.1_LNHZ01000079, aac_6___Ib_cr.1_DQ303918_2, blaOXA_10.1_J03427, blaCTX_M_108_JF274245.1, blaOXA_1.1_HQ170510, sul2.2_AY034138, blaTEM_1, sul1.2_U12338, mph_E_.1_DQ839391, msr_E_.1_FR751518, blaTEM_118_AY130285.1, blaCTX_M_15, armA.1_AY220558, floR.2_AF118107, blaOXA_1, aph_3___VIa.1_X07753, blaCTX_M_15.1_AY044436, dfrA14.1_KF921535, aph_6__Id.1_M28829, qnrB1.1_DQ351241, OqxA.1_EU370913_2, qacE.1_X68232, blaOXA_48, blaTEM_1A.1_HM749966, aadA1.5_JX185132, blaCMY_16_2_FJ855437, blaSHV_11_2d, cmlA1.1_M64556, blaSHV_182.1_KP050489, catB3.2_U13880, blaOXA_10_2d	aST437, ST437	blaSHV-11, blaCMY-16, floR, tet(A), aph(6)-Id, aph(3'')-Ib, sul2, oqxA, oqxB, arr-2, cmlA5, blaOXA-10, aadA1, qacEdelta1, sul1, armA, msr(E), mph(E), aph(3')-VIa, gyrA_D87G, gyrA_S83I, qnrB1, pmrB_R256G, aac(6')-Ib-cr5, blaOXA-1, blaTEM-1, blaOXA-48, blaCTX-M-15, dfrA14, fosA, phoQ_G385S
K988	K. pneumoniae	OqxA.1_EU370913_2, qacE.1_X68232, OqxB.1_EU370913_2, blaTEM_1_2d, blaSHV_152, rmtB.1_AB103506, aadA2b.1_D43625, blaNDM_5.1_JN104597, blaTEM_1B.1_AY458016, dfrA17.1_FJ460238, blaSHV_28.1_AF299299, fosA.3_ACWO01000079, sul1.2_U12338, blaNDM_5, blaSHV_28, aadA5.1_AF137361, mph_E_.1_DQ839391, msr_E_.1_FR751518, blaTEM_118_AY130285.1, armA.1_AY220558	aST307, ST307	oqxB19, oqxA, blaSHV-28, mph(E), msr(E), armA, sul1, qacEdelta1, aadA5, dfrA17, rmtB1, blaTEM-1, gyrA_S83I, blaNDM-5, ble, fosA
K993	K. pneumoniae	blaNDM_1.1_FN396876, fosA.5_AFBO01000747, tet_A_.4_AJ517790, OqxB.1_EU370913_2, blaSHV_152, aph_3____Ib.5_AF321551, aac_6___Ib_cr.1_DQ303918_2, blaCTX_M_108_JF274245.1, blaOXA_1.1_HQ170510, blaSHV_67.1_DQ174307, dfrA1.8_X00926, sul1.2_U12338, aac_3__IIa.6_CP023555, blaTEM_118_AY130285.1, blaCTX_M_15, blaOXA_1, blaNDM_1, blaCTX_M_15.1_AY044436, blaSHV_11_15d, aph_6__Id.1_M28829, qnrB1.1_DQ351241, OqxA.1_EU370913_2, qacE.1_X68232, blaTEM_1_2d, blaTEM_1B.1_AY458016, ant_3____Ia.1_X02340, catB3.2_U13880, blaLEN15.1_AF452105	aST147, ST147	fosA, fosA, pmrB_R256G, sul1, qacEdelta1, dfrA1, tet(A), blaNDM-1, ble, aph(6)-Id, aph(3'')-Ib, qnrB1, oqxB, oqxA, blaCTX-M-15, blaTEM-1, aac(3)-IIe, aac(6')-Ib-cr5, blaOXA-1, blaSHV-11, gyrA_S83I
K999	K. pneumoniae	blaDHA_1.1_Y16410, qnrB4.1_DQ303921, mph_A_.1_D16251, blaDHA_1, dfrA17.1_FJ460238, blaSHV_33, OqxA.1_EU370913_2, ant_3____Ia.1_X02340, fosA.3_ACWO01000079, sul1.2_U12338, OqxB.1_EU370913_2, blaSHV_153, aadA5.1_AF137361, blaSHV_33.1_AY037779	aST35, ST35	qnrB4, blaDHA-1, sul1, mph(A), dfrA17, blaSHV-33, oqxB19, oqxA3, fosA
MRR160058	K. pneumoniae	blaDHA_1.1_Y16410, blaCTX_M_82.1_DQ256091, tet_A_.4_AJ517790, OqxB.1_EU370913_2, aph_3____Ib.5_AF321551, aph_3___Ia.1_V00359, blaCTX_M_108_JF274245.1, mph_A_.1_D16251, sul2.2_AY034138, aph_6__Id.4_CP000971, sul1.2_U12338, blaSHV_11, blaSHV_153, aac_3__IIa.6_CP023555, aac_6___Ib.1_M21682, blaTEM_118_AY130285.1, qnrB4.1_DQ303921, dfrA14.1_KF921535, blaSHV_96.1_EF373971, OqxA.1_EU370913_2, qacE.1_X68232, blaTEM_1_2d, blaDHA_1_JX495964, blaTEM_1B.1_AY458016, ant_3____Ia.1_X02340, fosA.3_ACWO01000079, blaCTX_M_55	aST17, ST17	blaSHV-11, qnrB4, blaDHA-1, sul1, sul2, aph(3'')-Ib, aph(6)-Id, blaTEM-1, tet(A), mph(A), dfrA14, aac(3)-IIe, aac(6')-Ib, oqxA, oqxB25, aph(3')-Ia, fosA
MRR160063	K. pneumoniae	aph_3___VI.1_KC170992, blaNDM_1.1_FN396876, OqxB.1_EU370913_2, blaSHV_152, aac_6___Ib_cr.1_DQ303918_2, blaOXA_1.1_HQ170510, dfrA1.8_X00926, sul1.2_U12338, blaOXA_232.1_JX423831, mph_E_.1_DQ839391, msr_E_.1_FR751518, armA.1_AY220558, blaOXA_1, blaNDM_1, dfrA14.1_KF921535, qnrB1.1_DQ351241, OqxA.1_EU370913_2, qacE.1_X68232, blaOXA_232, dfrA12.8_AM040708, aadA2.2_JQ364967, blaSHV_28.1_AF299299, fosA.3_ACWO01000079, catA1.1_V00622, catB3.2_U13880, ere_A_.1_AY183453, blaSHV_28	aST14, ST14	dfrA1, sat2, gyrA_D87G, gyrA_S83Y, dfrA12, aadA2, qacEdelta1, sul1, armA, msr(E), mph(E), oqxA, oqxB, ble, blaNDM-1, blaOXA-232, dfrA14, qnrB1, blaOXA-1, aac(6')-Ib-cr5, aph(3')-VI, fosA, catA1, blaSHV-28
MRR160064	K. pneumoniae	blaOXA_1, blaCTX_M_82.1_DQ256091, blaSHV_11_15d, blaOXA_48.1_AY236073, dfrA14.1_KF921535, aph_6__Id.1_M28829, qnrB1.1_DQ351241, OqxA.1_EU370913_2, fosA.5_AFBO01000747, blaCTX_M_15_3d, tet_A_.4_AJ517790, blaTEM_1_2d, OqxB.1_EU370913_2, blaOXA_48, blaSHV_152, aph_3____Ib.5_AF321551, aac_6___Ib_cr.1_DQ303918_2, blaCTX_M_108_JF274245.1, blaOXA_1.1_HQ170510, blaTEM_1B.1_AY458016, sul2.2_AY034138, blaSHV_67.1_DQ174307, ant_3____Ia.1_X02340, catB3.2_U13880, aac_3__IIa.6_CP023555, blaTEM_118_AY130285.1	aST392, ST392	fosA, fosA, pmrB_R256G, blaSHV-11, sul2, aph(3'')-Ib, aph(6)-Id, blaTEM-1, blaCTX-M-15, dfrA14, tet(A), gyrA_S83I, qnrB1, aac(3)-IIe, aac(6')-Ib-cr5, blaOXA-1, blaOXA-48, oqxB, oqxA
